,total_area,deer_range,deer_range_percent,public_land,public_land_percent,deer_range_on_public_land,DeerPopulation2023
Adams,688.0,526.0,76.0,72.0,11.0,67.0,24600.0
Ashland,814.0,769.0,94.0,453.0,56.0,450.0,10200.0
Barron,890.0,520.0,58.0,49.0,6.0,45.0,23100.0
Bayfield,1482.0,1391.0,94.0,814.0,55.0,803.0,25300.0
Brown,535.0,158.0,30.0,3.0,2.0,7.0,14700.0
Buffalo,709.0,527.0,74.0,55.0,8.0,29.0,25800.0
Burnett,880.0,759.0,86.0,314.0,36.0,299.0,20800.0
Calumet,397.0,77.0,19.0,19.0,5.0,14.0,7100.0
Chippewa,1041.0,667.0,64.0,82.0,8.0,77.0,8100.0
Clark,1218.0,771.0,63.0,223.0,18.0,221.0,12300.0
Columbia,795.0,379.0,48.0,40.0,5.0,33.0,35700.0
Crawford,599.0,483.0,81.0,69.0,12.0,44.0,27300.0
Dane,1237.0,428.0,35.0,41.0,3.0,34.0,26600.0
Dodge,907.0,272.0,30.0,72.0,8.0,58.0,24800.0
Door,489.0,300.0,61.0,39.0,8.0,37.0,16100.0
Douglas,1339.0,1252.0,94.0,669.0,50.0,659.0,21900.0
Dunn,864.0,519.0,60.0,50.0,6.0,43.0,31100.0
Eau Claire,645.0,439.0,68.0,97.0,15.0,95.0,5900.0
Florence,497.0,475.0,96.0,301.0,61.0,297.0,13500.0
Fond Du Lac,,,,,,,22100.0
Fond du Lac,765.0,227.0,30.0,43.0,6.0,32.0,
Forest,1046.0,993.0,95.0,740.0,71.0,726.0,14500.0
Fort McCoy,,,,,,,0.0
Grant,1182.0,523.0,44.0,69.0,6.0,38.0,35400.0
Green,584.0,139.0,24.0,11.0,2.0,8.0,13200.0
Green Lake,380.0,179.0,47.0,30.0,8.0,27.0,18300.0
Iowa,767.0,410.0,53.0,36.0,5.0,32.0,24000.0
Iron,770.0,712.0,92.0,511.0,66.0,483.0,3700.0
Jackson,999.0,844.0,84.0,328.0,33.0,321.0,10700.0
Jefferson,582.0,222.0,38.0,35.0,6.0,30.0,16500.0
Juneau,830.0,642.0,80.0,200.0,25.0,186.0,11800.0
Kenosha,279.0,89.0,32.0,12.0,4.0,10.0,2800.0
Kewaunee,344.0,123.0,36.0,6.0,2.0,5.0,12400.0
La Crosse,480.0,340.0,71.0,52.0,11.0,26.0,20800.0
Lafayette,634.0,102.0,16.0,11.0,2.0,8.0,12300.0
Langlade,887.0,769.0,87.0,366.0,41.0,361.0,23600.0
Lincoln,906.0,828.0,91.0,293.0,32.0,290.0,20500.0
Madeline Island,,,,,,,800.0
Manitowoc,596.0,211.0,35.0,18.0,3.0,15.0,18500.0
Marathon,1575.0,1073.0,68.0,124.0,8.0,115.0,52500.0
Marinette,1429.0,1293.0,90.0,465.0,33.0,458.0,22600.0
Marquette,464.0,366.0,79.0,23.0,5.0,20.0,30200.0
Menominee,365.0,355.0,97.0,0.0,0.0,0.0,0.0
Milwaukee,243.0,46.0,19.0,1.0,0.0,1.0,1100.0
Monroe,814.0,617.0,76.0,50.0,6.0,48.0,4000.0
Oconto,1017.0,791.0,78.0,307.0,30.0,303.0,9500.0
Oneida,1234.0,1085.0,88.0,572.0,46.0,556.0,22000.0
Outagamie,644.0,218.0,34.0,18.0,3.0,17.0,20300.0
Ozaukee,2345.0,84.0,36.0,6.0,3.0,5.0,5600.0
Pepin,249.0,152.0,61.0,10.0,4.0,9.0,8900.0
Pierce,592.0,294.0,50.0,15.0,3.0,11.0,16400.0
Polk,956.0,655.0,68.0,86.0,9.0,79.0,31400.0
Portage,822.0,517.0,63.0,59.0,7.0,42.0,31400.0
Price,1277.0,1218.0,95.0,533.0,42.0,525.0,22800.0
Racine,340.0,90.0,26.0,7.0,2.0,6.0,3900.0
Richland,589.0,477.0,81.0,21.0,4.0,19.0,32400.0
Rock,726.0,157.0,22.0,28.0,4.0,13.0,11400.0
Rusk,930.0,836.0,90.0,250.0,27.0,247.0,22100.0
Sauk,848.0,568.0,67.0,62.0,7.0,57.0,37000.0
Sawyer,1226.0,1114.0,91.0,654.0,53.0,643.0,16600.0
Shawano,909.0,634.0,70.0,31.0,3.0,29.0,44800.0
Sheboygan,518.0,204.0,39.0,39.0,8.0,33.0,15000.0
St Croix,736.0,282.0,38.0,34.0,5.0,20.0,
St. Croix,,,,,,,17700.0
Taylor,984.0,848.0,86.0,265.0,27.0,259.0,26000.0
Trempealeau,742.0,514.0,69.0,24.0,3.0,18.0,29500.0
Vernon,816.0,576.0,71.0,49.0,6.0,25.0,43400.0
Vilas,906.0,764.0,84.0,422.0,47.0,410.0,14700.0
Walworth,576.0,198.0,34.0,27.0,5.0,23.0,9700.0
Washburn,853.0,749.0,88.0,295.0,35.0,285.0,17200.0
Washington,436.0,209.0,48.0,21.0,5.0,19.0,13400.0
Waukesha,580.0,284.0,49.0,35.0,6.0,31.0,13800.0
Waupaca,765.0,526.0,69.0,16.0,2.0,14.0,46400.0
Waushara,637.0,450.0,71.0,34.0,5.0,32.0,34200.0
Winnebago,578.0,124.0,22.0,21.0,4.0,17.0,12700.0
Wood,809.0,569.0,70.0,107.0,13.0,101.0,17700.0
