County|DeerPopulation2023
Adams|24600
Ashland|10200
Barron|23100
Bayfield|25300
Brown|14700
Buffalo|25800
Burnett|20800
Calumet|7100
Chippewa|8100
Clark|12300
Columbia|35700
Crawford|27300
Dane|26600
Dodge|24800
Door|16100
Douglas|21900
Dunn|31100
Eau Claire|5900
Florence|13500
Fond Du Lac|22100
Forest|14500
Fort McCoy|0
Grant|35400
Green Lake|18300
Green|13200
Iowa|24000
Iron|3700
Jackson|10700
Jefferson|16500
Juneau|11800
Kenosha|2800
Kewaunee|12400
La Crosse|20800
Lafayette|12300
Langlade|23600
Lincoln|20500
Madeline Island|800
Manitowoc|18500
Marathon|52500
Marinette|22600
Marquette|30200
Menominee|0
Milwaukee|1100
Monroe|4000
Oconto|9500
Oneida|22000
Outagamie|20300
Ozaukee|5600
Pepin|8900
Pierce|16400
Polk|31400
Portage|31400
Price|22800
Racine|3900
Richland|32400
Rock|11400
Rusk|22100
Sauk|37000
Sawyer|16600
Shawano|44800
Sheboygan|15000
St. Croix|17700
Taylor|26000
Trempealeau|29500
Vernon|43400
Vilas|14700
Walworth|9700
Washburn|17200
Washington|13400
Waukesha|13800
Waupaca|46400
Waushara|34200
Winnebago|12700
Wood|17700
